0,1
neg,MY snapchat - LeanneRiner19 #snapchat #hornykik #loveofmylife #dmme #pussy #newmusic #sexo :( http://t.co/TyhwG534Ng
neg,@DominionSyfy when will S2 be aired in Spain?? The delay is killing us... :(
neg,@TheOnion @ChoKyungHoon82 not a single untruth here :(
neg,My last cross country in IJ was amazing!!!!!!!💥✨💫 Can't bear to leave :-( https://t.co/VkVOxIaEQn
neg,@_lizzy_kay I can't drive so :(
neg,when I have my own little apartment can like someone come live with me :-(
neg,soshi didnt win :(( buttt congrats infinite!! #bad4thwin
neg,@rickygervais I'm working Saturday and Sunday so Friday is a bad day for me :(:(
neg,going home soon :(
neg,I shoulda moved away w my boys when I had the chance cause they're the only people I want at times like this :(
neg,Heyyyyy i wanted to see yeols solo danceeeeee :((((((((((((((
neg,Inter offer Nemanja Vidic to Roma...but they don't want him either :( http://t.co/Ksdgy0lTpF http://t.co/FplKjpXNQN
neg,My mom's a linguist. My dad's a computer scientist. And I am the dumbest one in the family :-(
neg,@GizmodoUK broken for me :( I really wanted my morning ice cream in the pouring rain... http://t.co/y9waxvQKpg
neg,@hankgreen would you ever consider creating crash course videos about computer science? There aren't many resources at my school :(
neg,@Uber all ice cream vehicles are busy :(
neg,ate ayex what do you eat? youre sexy :((( — I swear I eat a lot. No chill lamon haha http://t.co/CfOxw5wljZ
neg,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* :("
neg,so i'll be getting my cement cast tomorrow :(
neg,Shit 10.3k???? :(((((
neg,*sign out* :(((((( https://t.co/y45q9GAJ5j
neg,@zaynmalik zayn :((
neg,"(bot) If you follow me, plz send to me mention. Because I can't notice :("
neg,these JMU camps are such a tease bc I just wanna be here now :(
neg,"@mizznhee that's one of the sweetest things I've ever said, awuna mbulelo :("
neg,This fucking bad link isn't working and I can't watch the match! :(
neg,"Oh no Mr I Pigs not turning on :( although there's a weird crackling noise when I plug him in coming from the plug ,I'm thinking fuse?"
neg,@TitusOReily dammit I tipped Carlton :( #AFLBluesHawks
neg,@baileymac02 miss you :(
neg,@jiministic go to bed :(
neg,Am want to go Alex's house :(
neg,@MotorsportCntrl @GP2_Official so true! This was part of a motorsport series (all on one disc) :(
neg,"All I want right now is the A, followed by the D and a cheeky J after that

Instead I've got some SEO and some NLs to be getting on with :("
neg,@BOYBANDSFTCARA sure!!! Sorry :( x
neg,@talkingsimpsons hey bud! Christy is really sick so I can't leave these 2 at home :( xo thanks man
neg,My niece is having a better summer then me :(
neg,I just wanted a bloody sandwhich :(
neg,@Whorgeee :( it is
neg,Buset :( https://t.co/hQ4y4FKniZ
neg,#Discrimination :-( Five things we learned about pregnancy discrimination today | Left Foot F... http://t.co/Ey9MmaSmsd #UniteBlue #Tcot
neg,"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot"
neg,#DomesticViolence :( Proposed New Law Will Help Domestic Violence Victims - 98FM: Victims ... http://t.co/eoISmrzLpo #UniteBlue #VAW :-(
neg,@nnoonlight i missed you :( it was okay. lol. I did nothing. 😂
neg,@hamzaabasiali exactly but unfortunately :(
neg,"Such a stressful and upsetting day yesterday, the UK government sucks :("
neg,"Ugh, well I could still say that I'm lucky because I am Sapiosexual. :(((("
neg,Aww too bad :(
neg,Ive been trying to play the damn beta for like 12 hours now :(
neg,I don't want to be in a world where Hulk Hogan has been scrubbed from WWE history :-(
neg,im so tired! :(
neg,This weather isn't making me want to go to the gym at all..... :-(
neg,@katjturgoose @artsjobs Link doesn't work! :(
neg,Irene seemed so sad after making that mistake :(
neg,"@ItssssKelseyyyy Naa unfortunately, I didn't have my phone on me :("
neg,@bmthofficial ITS SOLD OUT :((((((((((((((((((((((((((((((((((((((((((((((((((((((((((
neg,i hate u &gt;.&lt; &gt;:( #H_My_King
neg,we lose again :(
neg,"Valentine et al found r'ships btwn homo/biphobic comments &amp; certain disciplines - incl. European langs, lit, education :( #fresherstofinals"
neg,when will you notice me :( i'm so hopeless 💔 @SeaveyDaniel
neg,my dreams are gettin too realistic for my liking thx !!! cant tell whats real n what isnt :((((
neg,@SidebySide either or but would prefer Benzema! We won't get any though :(
neg,@dontvexmysoul hahahahahaah i donno korean language :( only few russian ) waaaaa
neg,@Grofers what about me? :( #EidWithGrofers
neg,Someone talk to me I'm boreddd :(
neg,"don't you just hate it when you get called a mug 
pisses me off &gt;:("
neg,"""@MgaPinoyPatama: I miss you, but I know you don’t care."" :(("
neg,"@alexmcgraaa no I can't do it, don't have the option on my phone :("
neg,"@CelestialSinn I love Tiddler, but that was really silly :( but at least we’ll be getting real new cards in like 1 hour.."
neg,:( well this sucks
neg,Infinite win :(
neg,@SBS_MTV Are you sure that Chorong is the leader? #에이핑크 #더쇼 I can't be sure anymore :(
neg,@ClashWithCam when will the clan slots be open :((
neg,Pffff doing a private @Bugcrowd #bugbounty and only finding self-XSS and host header poisoning :( Need some code execution #ktksbye
neg,When your connect leaves a company and they don't alert you :(
neg,.@uberuk you cancelled my ice cream uber order. Everyone else in the office got it but me. :(
neg,"@Nebula2592 ahahah i consider it petite, i have a love hate relationship with my height :("
neg,@therp_stefan @Therp_BV will cost you 600 k£ to get security alerts on odoo 8 if you are an Odoo partner. Far from community spirit. :-(
neg,jgh :( im so effin tired
neg,"facebook, y u no work ? y u do this facebook ? :("
neg,No ones up :((
neg,@TheNameIsJase No unfortunately :( Sorry!
neg,Anyone else's show box not working?!?!?:(:(:(:(:(
neg,AP won't be the same anymore :-(
neg,@llymlrs story of my life...!! Love London and can't imagine living elsewhere but it's gonna have to happen someday :( I have NO space!
neg,"@benrwms Oh no Ben :-( That is terrible, please provide us with the name of the branch you visited. We would like to address your concern."
neg,Poor guy :( http://t.co/aSq9NN4AXR
neg,"@elninakauser I feel your pain, It's like the Welsh Pod all over again  :("
neg,@buterasfredo i can't wait for the movie to come out :(
neg,"@littlejules14 Hi Julie, I'm sorry you feel this way :( Whats happened? ^Laura"
neg,@maknaekookie i cant :-( im still inside the train station waiting for the person ;_; home is another hour away D;
neg,@vegemitegrier not anymore :(
neg,"@wendykims @Joix05 @GiladMillo some people need not to talk-kama hawako around :( :( 
Waa Kimaaaaaani prisssss!"
neg,Baggage claim. The final goodbye to all your new plane friends :(
neg,i miss niamh i havent seen her in forever :(
neg,Yeah I screwed up again :-( and this time I thought I did something good good
neg,@lifeboatsupport I have! :(
neg,"@CherylWalmsley hmmm, they always have so much sugar in them, I rarely make them. Sorry I couldn't help. :("
neg,I literally have no time to watch paper towns :((
neg,@donhutch4 what's the score don I'm stuck at work :(
neg,Agh @UPCIreland keeps cutting out in the middle of #undercoverboss :-(
neg,@CMPunk @MattJackson13  please please come back to wwe :( تكفى
neg,@cosplayamerica I'll be there around 10. My train was delayed. :(
neg,Having a full time job means you only gonna have part time fun :(
neg,My cats have forgotten who I am and they hate me :(
neg,@vaxwell I know it's long and I played for 15 hours. :(
neg,@NewBreed_Next u already have most of them :(
neg,@Kryaotic117 @TritanArmyv2 @MoreConsole yep again :(
neg,WHY MUST THE VIDEO STOP THO :(
neg,wisdom teeth giving me so much ache :((
neg,Y is no one up :-(
neg,my wrists feel so naked bc i forgot my watch &amp; bracelet :((
neg,@diamaziing Did you ligo na? :(
neg,The Day A Dozen Parents And Children Killed A Baby Shark For A Selfie :(  https://t.co/S8cq6c91ni
neg,So this is Heartache? :(
neg,I don't think so :( #zayniscomingback
neg,little mix are coming to sweden tomorrow and i can't see them :-( im sad
neg,"my heart is breathing for this moment in time, i'll find the words to say before you leave me today :("
neg,Elmhurst FC are over  :-( I'll always be  #ETID
neg,Miss chillin'with you :( @PrincessReeev
neg,"Forget to my Job. 
I'm sorry my father. :("
neg,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amp;other countless things2cope with it all?&gt;:("
neg,I liked a @YouTube video http://t.co/93Z6WOVOs9 PASHA IS CRYING AFTER TERRIBLE DONATE :(
neg,i'm so bored!!! pleas can 1 Arianator talk to me? :(
neg,@Hydrojeon lmao hahahaha slr jgh from school :((
neg,My live streaming sucks or is it just me :(
neg,Kendall and Kylie are killing me on Kylie's snapchat :(((((
neg,@MaayanGean absolute world to me I was so close to seeing him but he did not show up in manila :( i cried so fucking hard that time
neg,"@jmcefalas Jeebus. Reabsorbtion of tooth, abscess, threatening to affect my lovely front crown :( and OOOOOOOOUCH!!!"
neg,oh barney :((
neg,Awh why :( were nice  https://t.co/5zAwc5Z37J
neg,"Sometimes it be's like that, yo. Follow someone and then a few days later realise they're problematic as fuck. Life :("
neg,THEY DIDNT EXPECT THAT OMG THEIR FACES :((((( IM SO PROUD OF YOU INFINITE
neg,This day is such a mess! :(
neg,I miss you maa :( why didn't you ever tell me its going to be like this without you?
neg,Help me :(
neg,@TheHinduTheatre @evam_entd Why no Bangalore? :(
neg,"@NotRedbutBlue awww :(
at least u never got called luis manzano tho"
neg,@bebeshaaa thanks shaaaa! Miss u super :(
neg,WE DIDN'T GET THE 7TH WIN :(
neg,Meeting with the convener at 2:30pm :( not looking forward to it!
neg,@tweetseamus how was the party last night? Shame I couldn't go :( would of been lovely to have seen you again x
neg,@SynergyFlying No!!! Why did you delete me?:(
neg,"#TURKEY ARE NOW #BOMBING #ISIS IN #SYRIA,AND ALLOW THE #USA TO USE ONE OF IT #AIRFIELDS FOR THEIR #JETS :()"
neg,"I want Jack's follow so bad, but I don't want to be annoying by spamming him :( sooo @jackgilinsky follow me please? ☺💜"
neg,mommy's in manila and I've only seen her once :(
neg,"The reason why I'm always, always overweight... sigeg habhab :( masud pa kaha kos akong un… http://t.co/RZ52EUtzMD http://t.co/Nvx057PFZp"
neg,@samayanyan yes thank u!! Oh damn that hella sucks :-( but at least u had a really good time that's all that matters
neg,@mollehgarcia no pala omg hahaha i have driving lessons :(
neg,aW i wanna go and see dolphins again :( so cute xxx http://t.co/RJBAFfSMbh
neg,@brighteyedmgc hoLY FUCK are u okay / text me if u need anythin !!! :-(
neg,@xband__loverx I miss you :(
neg,"#ZaynIsComingBackOnJuly26
I See this trend an in radio the next sing is See you again...:("
neg,Beware: agonising thought experiment ahead :( https://t.co/B8Ttz1wbkG
neg,"Last time I was here, was a funeral and a again funeral. Modimo ho tseba wena fela. :( — feeling emotional at... http://t.co/mQYsswdot7"
neg,what's wrong with me :(
neg,@lh_JM88 and now me too :( hubby will be delighted to return home lol
neg,SO SAD FOR THE GIRLS OH WHY DIDN'T THEY WIN :((((
neg,"@burloutray4 I want something new too, damn you bills!! :("
neg,@someboysjumper @apriloumay Nowt worse than a sad looking willy :(
neg,@Tonynamly sad moment when you gon vomit all this out :(
neg,or a famous bowl :(
neg,She's so cute :( http://t.co/5gRpttMX8k
neg,Devastating to find out last night that Titan AE was never actually any good :-( http://t.co/zzwd8HDcOI
neg,@Mark23Baracael mark followback :(
